Size,Type,Algorithm,Time_microseconds
5100,Random,Hybrid Merge+Insertion Sort,5142
5100,Reverse Sorted,Standard Merge Sort,15713
5100,Reverse Sorted,Hybrid Merge+Insertion Sort,4125
5100,Nearly Sorted,Standard Merge Sort,15803
5100,Nearly Sorted,Hybrid Merge+Insertion Sort,3248
5200,Random,Standard Merge Sort,15847
5200,Random,Hybrid Merge+Insertion Sort,4649
5200,Reverse Sorted,Standard Merge Sort,13062
5200,Reverse Sorted,Hybrid Merge+Insertion Sort,2594
5200,Nearly Sorted,Standard Merge Sort,11371
5200,Nearly Sorted,Hybrid Merge+Insertion Sort,3048
5300,Random,Standard Merge Sort,14585
5300,Random,Hybrid Merge+Insertion Sort,3127
5300,Reverse Sorted,Standard Merge Sort,11425
5300,Reverse Sorted,Hybrid Merge+Insertion Sort,2642
5300,Nearly Sorted,Standard Merge Sort,11646
5300,Nearly Sorted,Hybrid Merge+Insertion Sort,2493
5400,Random,Standard Merge Sort,12164
5400,Random,Hybrid Merge+Insertion Sort,3148
5400,Reverse Sorted,Standard Merge Sort,11080
5400,Reverse Sorted,Hybrid Merge+Insertion Sort,2688
5400,Nearly Sorted,Standard Merge Sort,11562
5400,Nearly Sorted,Hybrid Merge+Insertion Sort,2558
5500,Random,Standard Merge Sort,12722
5500,Random,Hybrid Merge+Insertion Sort,3954
5500,Reverse Sorted,Standard Merge Sort,14368
5500,Reverse Sorted,Hybrid Merge+Insertion Sort,3591
5500,Nearly Sorted,Standard Merge Sort,16153
5500,Nearly Sorted,Hybrid Merge+Insertion Sort,3331
5600,Random,Standard Merge Sort,16044
5600,Random,Hybrid Merge+Insertion Sort,4238
5600,Reverse Sorted,Standard Merge Sort,15392
5600,Reverse Sorted,Hybrid Merge+Insertion Sort,3575
5600,Nearly Sorted,Standard Merge Sort,14919
5600,Nearly Sorted,Hybrid Merge+Insertion Sort,3202
5700,Random,Standard Merge Sort,15835
5700,Random,Hybrid Merge+Insertion Sort,4089
5700,Reverse Sorted,Standard Merge Sort,15407
5700,Reverse Sorted,Hybrid Merge+Insertion Sort,4123
5700,Nearly Sorted,Standard Merge Sort,14421
5700,Nearly Sorted,Hybrid Merge+Insertion Sort,3903
5800,Random,Standard Merge Sort,16169
5800,Random,Hybrid Merge+Insertion Sort,4146
5800,Reverse Sorted,Standard Merge Sort,14523
5800,Reverse Sorted,Hybrid Merge+Insertion Sort,3371
5800,Nearly Sorted,Standard Merge Sort,18085
5800,Nearly Sorted,Hybrid Merge+Insertion Sort,3616
5900,Random,Standard Merge Sort,16237
5900,Random,Hybrid Merge+Insertion Sort,3793
5900,Reverse Sorted,Standard Merge Sort,15722
5900,Reverse Sorted,Hybrid Merge+Insertion Sort,3588
5900,Nearly Sorted,Standard Merge Sort,13591
5900,Nearly Sorted,Hybrid Merge+Insertion Sort,2690
6000,Random,Standard Merge Sort,14385
6000,Random,Hybrid Merge+Insertion Sort,4121
6000,Reverse Sorted,Standard Merge Sort,14616
6000,Reverse Sorted,Hybrid Merge+Insertion Sort,3441
6000,Nearly Sorted,Standard Merge Sort,15647
6000,Nearly Sorted,Hybrid Merge+Insertion Sort,2878
6100,Random,Standard Merge Sort,14695
